52025-09-06 14:40:32,171 - INFO - Questions written successfully.
2025-09-06 23:51:34,033 - ERROR - Error writing questions.csv: [Errno 13] Permission denied: 'questions.csv'
2025-09-06 23:51:34,033 - INFO - Question 10 added successfully.
2025-09-06 23:51:36,047 - INFO - Displayed all questions successfully.
2025-09-06 23:52:47,191 - INFO - Displayed all questions successfully.
2025-09-06 23:53:11,992 - ERROR - Error writing questions.csv: [Errno 13] Permission denied: 'questions.csv'
2025-09-06 23:53:11,994 - INFO - Question 10 added successfully.
2025-09-06 23:53:13,902 - INFO - Displayed all questions successfully.
2025-09-06 23:53:56,040 - INFO - Displayed all questions successfully.
2025-09-07 13:37:06,324 - WARNING - Invalid student name entered.
2025-09-07 13:37:10,980 - WARNING - Invalid student name entered.
2025-09-07 13:37:13,841 - WARNING - Invalid student name entered.
2025-09-07 13:37:18,054 - WARNING - Invalid student name entered.
2025-09-07 13:37:21,099 - WARNING - Invalid student name entered.
2025-09-07 13:37:28,952 - WARNING - Invalid student name entered.
2025-09-07 13:37:32,487 - WARNING - Invalid student name entered.
2025-09-07 13:37:35,552 - WARNING - Invalid student name entered.
2025-09-07 13:37:43,963 - WARNING - Invalid university entered.
2025-09-07 13:37:49,530 - WARNING - Invalid student name entered.
2025-09-07 13:37:54,273 - WARNING - Invalid student name entered.
2025-09-07 13:37:59,380 - WARNING - Invalid student name entered.
2025-09-07 13:38:15,485 - INFO - Nested questions loaded successfully.
2025-09-07 13:38:55,969 - INFO - Exam completed for student Cisco Pvt (CISCO). Score: 10/10
2025-09-07 13:40:47,491 - WARNING - Invalid university entered.
2025-09-07 13:42:02,958 - WARNING - Invalid university entered.
2025-09-07 13:43:45,706 - WARNING - Invalid student name entered.
2025-09-07 13:43:57,533 - WARNING - Invalid student name entered.
2025-09-07 13:44:04,920 - INFO - Nested questions loaded successfully.
2025-09-07 13:44:30,169 - INFO - Exam completed for student Sathwik k (cisco). Score: 4/10
2025-09-07 13:45:14,773 - INFO - Displayed all questions successfully.
2025-09-07 13:45:32,335 - INFO - Questions written successfully.
2025-09-07 13:45:32,335 - INFO - Question 11 added successfully.
2025-09-07 13:45:34,391 - INFO - Displayed all questions successfully.
2025-09-07 13:47:36,659 - INFO - Nested questions loaded successfully.
2025-09-07 13:48:08,302 - INFO - Exam completed for student sat (cissco). Score: 10/11
2025-09-07 13:49:51,999 - INFO - Question 11 found.
2025-09-07 13:50:06,162 - WARNING - Question 13 not found.
2025-09-07 13:50:12,287 - INFO - Question 1 found.
2025-09-07 13:51:16,043 - ERROR - Error writing questions.csv: [Errno 13] Permission denied: 'questions.csv'
2025-09-07 13:51:16,044 - INFO - Question 12 added successfully.
2025-09-07 13:51:32,910 - WARNING - Question 12 not found.
2025-09-07 13:52:27,465 - INFO - Nested questions loaded successfully.
2025-09-07 13:52:58,573 - INFO - Exam completed for student sai (hi). Score: 10/11
2025-09-07 13:56:20,820 - WARNING - Delete failed. Question 12 not found.
2025-09-07 13:56:26,737 - INFO - Questions written successfully.
2025-09-07 13:56:26,737 - INFO - Question 3 deleted successfully.
2025-09-07 13:56:55,192 - INFO - Displayed all questions successfully.
2025-09-07 13:58:56,735 - WARNING - Modify failed. Question 12 not found.
2025-09-07 13:59:49,913 - ERROR - Error writing questions.csv: [Errno 13] Permission denied: 'questions.csv'
2025-09-07 13:59:49,913 - INFO - Question 11 modified successfully.
2025-09-07 14:02:01,134 - WARNING - Invalid student name entered.
2025-09-07 14:02:13,056 - INFO - Displayed all questions successfully.
2025-09-07 14:03:09,432 - INFO - Nested questions loaded successfully.
2025-09-07 14:03:38,070 - INFO - Exam completed for student sss (sqsq). Score: 8/10
2025-09-07 14:06:34,330 - INFO - Nested questions loaded successfully.
2025-09-07 15:15:31,129 - INFO - Displayed all questions successfully.
2025-09-07 15:16:20,884 - INFO - Questions written successfully.
2025-09-07 15:16:20,885 - INFO - Question 10 added successfully.
2025-09-07 15:16:27,634 - INFO - Displayed all questions successfully.
2025-09-07 15:17:33,683 - INFO - Questions written successfully.
2025-09-07 15:17:33,684 - INFO - Question 11 added successfully.
2025-09-07 15:17:37,153 - INFO - Displayed all questions successfully.
2025-09-07 15:17:55,403 - WARNING - Question 12 not found.
2025-09-07 15:18:02,081 - INFO - Question 11 found.
2025-09-07 15:18:46,420 - INFO - Nested questions loaded successfully.
2025-09-07 15:19:54,214 - INFO - Exam completed for student sath (cisco). Score: 11/11
2025-09-07 15:20:09,814 - INFO - Nested questions loaded successfully.
2025-09-07 15:20:18,249 - WARNING - Exam interrupted by user sathwik (cisco) via Ctrl+C.
2025-09-07 15:21:11,981 - INFO - Questions written successfully.
2025-09-07 15:21:11,982 - INFO - Question 11 modified successfully.
2025-09-07 15:21:17,177 - INFO - Displayed all questions successfully.
2025-09-07 15:21:54,896 - INFO - Displayed all questions successfully.
2025-09-12 16:25:35,541 - WARNING - Invalid student name entered.
2025-09-12 16:25:44,839 - INFO - Nested questions loaded successfully.
2025-09-14 21:26:43,867 - INFO - Questions written successfully.
2025-09-14 21:26:43,867 - INFO - Question 12 added successfully.
2025-09-14 21:26:51,616 - INFO - Displayed all questions successfully.
2025-09-14 21:28:06,788 - INFO - Question 12 found.
2025-09-14 21:28:20,982 - WARNING - Question 13 not found.
2025-09-14 21:28:30,790 - INFO - Questions written successfully.
2025-09-14 21:28:30,790 - INFO - Question 12 deleted successfully.
2025-09-14 21:31:45,798 - INFO - Displayed all questions successfully.
2025-09-14 21:31:49,630 - INFO - Displayed all questions successfully.
2025-09-14 21:31:54,907 - INFO - Displayed all questions successfully.
2025-09-14 21:32:35,520 - INFO - Displayed all questions successfully.
2025-09-14 21:33:16,248 - WARNING - Invalid student name entered.
2025-09-14 21:33:37,328 - WARNING - Invalid university entered.
2025-09-14 21:33:41,750 - INFO - Nested questions loaded successfully.
2025-09-14 21:34:28,689 - INFO - Exam completed for student Balu (Cisco). Score: 3/11
2025-09-15 22:14:58,288 - INFO - Questions written successfully.
2025-09-15 22:14:58,289 - INFO - Question 12 added successfully.
2025-09-15 22:15:10,271 - INFO - Question 1 found.
2025-09-15 22:15:44,051 - INFO - Questions written successfully.
2025-09-15 22:15:44,051 - INFO - Question 13 added successfully.
2025-09-15 22:16:01,607 - INFO - Questions written successfully.
2025-09-15 22:16:01,607 - INFO - Question 14 added successfully.
2025-09-15 22:16:07,685 - INFO - Displayed all questions successfully.
2025-09-15 22:19:10,373 - INFO - Questions written successfully.
2025-09-15 22:19:10,374 - INFO - Question 12 deleted successfully.
2025-09-15 22:19:18,100 - INFO - Questions written successfully.
2025-09-15 22:19:18,101 - INFO - Question 13 deleted successfully.
2025-09-15 22:19:22,134 - WARNING - Delete failed. Question 14 not found.
2025-09-15 22:19:28,068 - INFO - Displayed all questions successfully.
